disc-reason-252,sgsn-dsd-allgprswithdrawn
disc-reason-253,r6-pmk-key-change-failure
disc-reason-254,sgsn-illegal-me
disc-reason-255,sess-termination-timeout
disc-reason-256,sgsn-sai-failure
disc-reason-257,sgsn-rnc-removal
disc-reason-258,sgsn-rai-removal
disc-reason-259,sgsn-init-deact
disc-reason-260,ggsn-init-deact
disc-reason-261,hlr-init-deact
disc-reason-262,ms-init-deact
disc-reason-263,sgsn-detach-init-deact
disc-reason-264,sgsn-rab-rel-init-deact
disc-reason-265,sgsn-iu-rel-init-deact
disc-reason-266,sgsn-gtpu-path-failure
disc-reason-267,sgsn-gtpc-path-failure
disc-reason-268,sgsn-local-handoff-init-deact
disc-reason-269,sgsn-remote-handoff-init-deact
disc-reason-270,sgsn-gtp-no-resource
disc-reason-271,sgsn-rnc-no-resource
disc-reason-272,sgsn-odb-init-deact
disc-reason-273,sgsn-invalid-ti
disc-reason-274,sgsn-actv-rejected-due-to-rnc
disc-reason-275,sgsn-apn-restrict-vio
disc-reason-276,sgsn-actv-rejected-by-sgsn
disc-reason-277,sgsn-abnormal-deact
disc-reason-278,sgsn-actv-rejected-by-ggsn
disc-reason-279,sgsn-err-ind
disc-reason-280,asngw-non-anchor-prohibited
disc-reason-281,asngw-im-entry-prohibited
disc-reason-282,Session-idle-mode-entry-timeout
disc-reason-283,session-idle-mode-exit-timeout
disc-reason-284,asnpc-ms-power-down-nwexit
disc-reason-285,asnpc-r4-nwexit-recd
disc-reason-286,sgsn-iu-rel-before-call-est
disc-reason-287,ikev2-subscriber-ipsecmgr-death
disc-reason-288,All-dynamic-pool-addr-occupied
disc-reason-289,mipv6ha-ip-addr-not-available
disc-reason-290,bs-monitor-keep-alive-failed
disc-reason-291,sgsn-attach-in-reg-state
disc-reason-292,sgsn-inbound-srns-in-reg-state
disc-reason-293,dt-ggsn-tun-reestablish-failed
disc-reason-294,sgsn-pdp-unknown
disc-reason-295,sgsn-pdp-auth-failure
disc-reason-296,sgsn-duplicate-pdp-context
disc-reason-297,sgsn-no-rsp-from-ggsn
disc-reason-298,sgsn-failure-rsp-from-ggsn
disc-reason-299,sgsn-apn-unknown
disc-reason-300,sgsn-pdp-status-mismatch
disc-reason-301,sgsn-attach-on-attch-init-abort
disc-reason-302,sgsn-iu-rel-in-israu-init-abort
disc-reason-303,sgsn-smgr-init-ab
disc-reason-304,sgsn-mm-ctx-cleanup-init-abort
disc-reason-305,sgsn-unknown-abort
disc-reason-306,sgsn-guard-timeout-abort
disc-reason-307,vpn-bounce-dhcpip-validate-req
disc-reason-308,mipv6-id-mismatch
disc-reason-309,aaa-session-id-not-found
disc-reason-310,x1/x5-max-retry-reach
disc-reason-311,x1-nwexit-recd
disc-reason-312,x1-dereg-req-recd
disc-reason-313,x1-remote-failure
disc-reason-314,x1x2-protocol-errors
disc-reason-315,x2/x6-max-retry-reached
disc-reason-316,x2/x6-nwexit-recd
disc-reason-317,x2-dereg-req-recd
disc-reason-318,x2-remote-failure
disc-reason-319,x1-pmk-key-change-failure
disc-reason-320,SA-Rekeying-Failure
disc-reason-321,Sess-sleep-mode-entry-timeout
disc-reason-322,phsgw-non-anchor-prohibited
disc-reason-323,asnpc-pc-relocation-failed
disc-reason-324,asnpc-pc-relocation
disc-reason-325,auth_policy_mismatch
disc-reason-326,ike/ipsec-sa-lifetime-expired
disc-reason-327,asnpc-del-ms-entry-recd
disc-reason-328,phspc-sleep-mode-timeout
disc-reason-329,phspc-sleep-mode-exit
disc-reason-330,phspc-sleep-mode-entry-auth-failed
disc-reason-331,phspc-ms-power-down-nwexit
disc-reason-332,phspc-x6-nwexit-recd
disc-reason-333,invalid-nat-config
disc-reason-334,asngw-tid-entry-not-found
disc-reason-335,No-NAT-IP-Addr-for-subscriber
disc-reason-336,excessive-phs-pd-flows-configured
disc-reason-337,phsgw-invalid-qos-configuration
disc-reason-338,Interim-Update
disc-reason-339,sgsn-inbound-attach-abort-radio-status-bad-lost
disc-reason-340,sgsn-inbound-irau-abort-radio-status-bad-lost
disc-reason-341,ike-keep-alive-failed
disc-reason-342,sgsn-attach-abort-ms-suspend
disc-reason-343,sgsn-inbound-irau-abort-ms-suspend
disc-reason-344,duplicate-session-detected
disc-reason-345,sgsn-xid-response-failure
disc-reason-346,sgsn-nse-cleanup
disc-reason-347,sgsn-gtp-req-failure
disc-reason-348,sgsn-imsi-mismatch
disc-reason-349,sgsn-bvc-blocked
disc-reason-350,sgsn-attach-on-inbound-irau
disc-reason-351,sgsn-attach-on-outbound-irau
disc-reason-352,sgsn-incorrect-state
disc-reason-353,sgsn-t3350-expiry
disc-reason-354,sgsn-page-timer-expiry
disc-reason-355,phsgw-tid-entry-not-found
disc-reason-356,phspc-del-ms-entry-recd
disc-reason-357,sgsn-pdp-local-purge
disc-reason-358,phs-invalid-nai
disc-reason-359,Session-sleep-mode-exit-timeout
disc-reason-360,sgsn-offload-phase2
disc-reason-361,phs-thirdparty-auth-fail
disc-reason-362,Remote-error-notification
disc-reason-363,No-response
disc-reason-364,PDG-Auth-failed
disc-reason-365,mme-s1AP-send-failed
disc-reason-366,mme-egtpc-connection-failed
disc-reason-367,mme-egtpc-create-session-failed
disc-reason-368,mme-authentication-failure
disc-reason-369,mme-ue-detach
disc-reason-370,mme-mme-detach
disc-reason-371,mme-hss-detach
disc-reason-372,mme-pgw-detach
disc-reason-373,mme-sub-validation-failure
disc-reason-374,mme-hss-connection-failure
disc-reason-375,mme-hss-user-unknown
disc-reason-376,dhcp-lease-mismatch-detected
disc-reason-377,nemo-link-layer-down
disc-reason-378,eapol-max-retry-reached
disc-reason-379,sgsn-offload-phase3
disc-reason-380,mbms-bearer-service-disconnect
disc-reason-381,disconnect-on-violation-odb
disc-reason-382,disconn-on-violation-focs-odb
disc-reason-383,CSCF-REG-Admin-disconnect
disc-reason-384,CSCF-REG-User-disconnect
disc-reason-385,CSCF-REG-Liefetime-Expiry
disc-reason-386,CSCF-REG-Network-disconnect
disc-reason-387,CSCF-Call-Admin-disconnect
disc-reason-388,CSCF-Call-User-disconnect
disc-reason-389,CSCF-CALL-Local-disconnect
disc-reason-390,CSCF-CALL-No-Resource
disc-reason-391,CSCF-CALL-No-Response
disc-reason-392,CSCF-CALL-Inactivity-timeout
disc-reason-393,CSCF-CALL-Media-Auth-Failure
disc-reason-394,CSCF-REG-No-Resource
disc-reason-395,ms-unexpected-idle-mode-entry
disc-reason-396,Re-Auth-failed
disc-reason-397,sgsn-pdp-nse-cleanup
disc-reason-398,sgsn-mm-ctxt-gtp-no-resource
disc-reason-399,unknown-apn
disc-reason-400,gtpc-path-failure
disc-reason-401,gtpu-path-failure
disc-reason-402,actv-rejected-by-ggsn
disc-reason-403,sgsn-pdp-gprs-camel-release
disc-reason-404,sgsn-check-imei-failure
disc-reason-405,sgsn-sndcp-init-deact
disc-reason-406,sgsn-pdp-inactivity-timeout
disc-reason-407,fw-and-nat-policy-removed
disc-reason-408,FNG-Auth-failed
disc-reason-409,ha-stale-key-disconnect
disc-reason-410,No-IPV6-address-for-subscriber
disc-reason-411,prefix-registration-failure
